analysis_type,label,questions,avg_answers,accepted_answer_rate
single_tag,google-query-language,187,1.2459893048128341,0.81818181818181823
single_tag,xslt-3.0,137,1.3065693430656935,0.77372262773722633
single_tag,raku,177,1.5706214689265534,0.768361581920904
single_tag,orders,220,1.0636363636363637,0.76818181818181819
single_tag,stringr,403,1.7220843672456574,0.75682382133995041
single_tag,purrr,596,1.5100671140939597,0.75335570469798663
single_tag,gsub,194,1.7371134020618555,0.75257731958762886
single_tag,lapply,373,1.3431635388739951,0.74530831099195716
single_tag,ramda.js,108,1.6666666666666665,0.7407407407407407
single_tag,friendly-url,195,1.1487179487179491,0.73333333333333328
single_tag,tidyr,615,1.6747967479674797,0.73008130081300815
single_tag,dplyr,5811,1.6265702977112373,0.72603682670796765
single_tag,data.table,1074,1.6471135940409685,0.71415270018621979
single_tag,progress-4gl,122,1.4016393442622952,0.71311475409836067
single_tag,awk,2031,2.1930083702609551,0.71245691777449527
single_tag,tidyverse,2271,1.5671510347864377,0.71114046675473364
single_tag,dictionary-comprehension,131,1.8091603053435115,0.70992366412213737
single_tag,monads,123,1.2113821138211385,0.70731707317073167
single_tag,pcre,109,1.3761467889908257,0.70642201834862384
single_tag,array-formulas,291,1.3573883161512028,0.70446735395189009
single_tag,data-manipulation,636,1.5283018867924529,0.70440251572327039
single_tag,c++-concepts,245,1.2653061224489794,0.69795918367346943
single_tag,flatten,218,1.2660550458715598,0.69724770642201839
single_tag,std-ranges,154,1.2142857142857142,0.69480519480519476
single_tag,variadic-templates,307,1.3061889250814334,0.69055374592833874
single_tag,jolt,198,1.0555555555555558,0.68686868686868685
single_tag,gnuplot,344,1.2703488372093024,0.68313953488372092
single_tag,rlang,125,1.296,0.68
single_tag,sfinae,146,1.1917808219178081,0.678082191780822
single_tag,servicestack,127,0.984251968503937,0.67716535433070868
single_tag,case-when,108,1.4537037037037035,0.67592592592592593
single_tag,common-lisp,345,1.5014492753623188,0.67536231884057973
single_tag,cumsum,117,1.4786324786324787,0.67521367521367526
single_tag,jq,1010,1.4168316831683168,0.67326732673267331
single_tag,borrow-checker,238,1.1554621848739497,0.67226890756302526
single_tag,activemq-artemis,261,0.996168582375479,0.67049808429118773
single_tag,xslt-1.0,289,1.0934256055363323,0.66782006920415227
single_tag,regex,12067,1.5157039860777326,0.66313085273887462
single_tag,sed,1522,2.1681997371879111,0.66097240473061758
single_tag,multi-index,427,1.1709601873536302,0.66042154566744726
single_tag,openedge,135,1.3851851851851851,0.65925925925925921
single_tag,shiny-reactivity,217,0.95852534562211977,0.65898617511520741
single_tag,lisp,313,1.4984025559105429,0.65814696485623
single_tag,kdb,256,1.390625,0.65625
single_tag,f#,798,1.2330827067669174,0.65538847117794485
single_tag,apply,626,1.4057507987220446,0.65495207667731625
single_tag,lifetime,280,1.1178571428571431,0.65357142857142858
